Day,Time,Student,Activity
1,00:20:50,A020,Viewed Week 1 study materials in Estonian
1,00:23:41,A020,Viewed the course information page
1,08:43:44,A048,Read a post in the announcements forum
1,08:44:09,A048,Viewed Week 1 lecture slides
1,09:12:24,A005,Read a post in the announcements forum
1,09:12:55,A005,Viewed the dictionary of terms
1,11:57:48,A048,Watched past years' Week 1 lecture recording
1,11:57:49,A048,Viewed Week 1 lecture slides
1,11:57:51,A048,Viewed Week 1 study materials in Estonian
1,12:12:18,A048,Viewed the course information page
1,12:56:20,A003,Read a post in the announcements forum
1,12:56:32,A003,Viewed the course information page
1,14:13:37,A035,Viewed the course information page
1,14:29:39,A093,Viewed the course information page
1,14:38:35,A080,Viewed the course information page
1,14:38:36,A080,Viewed the course information page
1,14:50:05,A004,Viewed the course information page
1,14:50:10,A004,Viewed the course information page
1,14:50:49,A004,Viewed Week 1 lecture slides
1,14:51:00,A004,Watched past years' Week 1 lecture recording
1,15:12:14,A001,Viewed Week 1 study materials in Estonian
1,16:03:01,A106,Read a post in the announcements forum
1,16:03:10,A106,Viewed the course information page
1,17:57:25,A008,Read a post in the announcements forum
1,18:20:55,A088,Viewed Week 1 study materials in Estonian
1,18:23:59,A094,Viewed Week 1 lecture slides
1,19:19:26,A095,Viewed Week 1 lecture slides
1,22:51:35,A029,Read a post in the announcements forum
2,08:18:21,A012,Viewed Week 1 lecture slides
2,08:18:46,A012,Viewed the course information page
2,10:26:37,A008,Viewed the course information page
2,10:26:37,A008,Viewed the dictionary of terms
2,10:26:38,A008,Viewed the course information page
2,11:17:08,A004,Read a post in the announcements forum
2,11:39:05,A005,Viewed the course information page
2,14:27:39,A047,Read a post in the announcements forum
2,14:28:04,A047,Viewed Week 1 lecture slides
2,14:29:26,A047,Viewed Week 1 study materials in English
2,14:29:39,A047,Viewed Week 1 study materials in Estonian
2,14:29:57,A047,Viewed the course information page
2,16:05:03,A046,Watched past years' Week 1 lecture recording
2,16:10:02,A016,Read a post in the announcements forum
2,16:10:14,A016,Viewed Week 1 lecture slides
2,16:18:36,A105,Viewed Week 1 lecture slides
2,16:19:02,A105,Viewed Week 1 study materials in Estonian
2,17:27:08,A039,Viewed the course information page
2,17:53:38,A039,Viewed the course information page
2,17:53:46,A039,Read a post in the announcements forum
2,18:14:23,A093,Viewed Week 1 lecture slides
2,18:14:26,A093,Viewed the course information page
2,18:19:27,A061,Viewed Week 1 study materials in Estonian
2,18:20:44,A061,Viewed Week 1 lecture slides
2,18:22:56,A061,Viewed the dictionary of terms
2,18:24:54,A061,Viewed the course information page
2,18:33:57,A027,Read a post in the announcements forum
2,18:34:15,A027,Viewed Week 1 lecture slides
2,18:34:20,A027,Viewed Week 1 lecture slides
2,18:36:35,A027,Viewed the course information page
2,18:56:59,A021,Viewed the course information page
2,18:57:20,A027,Viewed Week 1 study materials in English
2,18:58:09,A021,Viewed Week 1 study materials in English
2,19:06:08,A057,Viewed Week 1 lecture slides
2,22:42:38,A040,Read a post in the announcements forum
2,22:43:27,A040,Viewed the course information page
3,10:20:31,A060,Viewed Week 1 lecture slides
3,13:52:28,A023,Read a post in the announcements forum
3,14:53:07,A037,Viewed the course information page
3,17:06:24,A046,Read a post in the announcements forum
3,20:58:42,A057,Viewed Week 1 lecture slides
3,20:58:59,A057,Viewed Week 1 study materials in English
3,21:32:58,A019,Read a post in the announcements forum
3,21:33:10,A019,Viewed Week 1 lecture slides
3,22:25:17,A030,Viewed the dictionary of terms
3,22:25:46,A030,Viewed Week 1 lecture slides
4,01:01:17,A010,Viewed Week 1 lecture slides
4,01:02:16,A010,Viewed Week 1 study materials in Estonian
4,09:26:10,A040,Viewed Week 1 lecture slides
4,10:03:35,A065,Viewed Week 1 lecture slides
4,10:14:17,A004,Viewed the course information page
4,10:21:37,A039,Viewed the course information page
4,10:25:26,A039,Viewed the course information page
4,13:32:17,A040,Viewed the course information page
4,14:14:47,A082,Viewed Week 1 lecture slides
4,17:56:00,A089,Read a post in the announcements forum
4,17:59:47,A082,Viewed Week 1 study materials in Estonian
4,17:59:56,A082,Viewed Week 1 study materials in English
4,18:34:07,A091,Read a post in the announcements forum
4,18:34:14,A091,Read a post in the announcements forum
4,19:24:58,A069,Read a post in the announcements forum
4,19:25:03,A069,Read a post in the announcements forum
4,19:29:33,A021,Viewed Week 1 study materials in English
4,19:29:37,A021,Viewed Week 1 lecture slides
4,19:29:46,A021,Viewed Week 1 study materials in English
4,19:34:06,A021,Viewed Week 1 study materials in Estonian
4,19:34:30,A021,Viewed the course information page
4,19:35:32,A021,Viewed the course information page
4,21:21:22,A074,Read a post in the announcements forum
4,21:50:53,A094,Read a post in the announcements forum
4,21:51:22,A094,Viewed Week 1 lecture slides
4,21:51:36,A094,Watched past years' Week 1 lecture recording
4,22:11:51,A056,Viewed Week 1 study materials in English
4,22:14:39,A100,Read a post in the announcements forum
4,22:14:43,A100,Read a post in the announcements forum
4,22:14:59,A100,Read a post in the announcements forum
4,22:32:33,A005,Read a post in the announcements forum
4,23:19:03,A015,Read a post in the announcements forum
5,02:01:45,A099,Viewed the course information page
5,02:01:53,A099,Read a post in the announcements forum
5,03:00:01,A056,Viewed Week 1 study materials in English
5,03:00:03,A056,Viewed Week 1 lecture slides
5,03:00:06,A095,Read a post in the announcements forum
5,03:00:25,A095,Read a post in the announcements forum
5,09:20:36,A065,Read a post in the announcements forum
5,09:26:30,A070,Read a post in the announcements forum
5,09:29:43,A071,Viewed the course information page
5,09:47:12,A020,Viewed Week 1 lecture slides
5,09:47:22,A020,Viewed Week 1 study materials in Estonian
5,10:00:37,A030,Read a post in the announcements forum
5,10:23:35,A009,Read a post in the announcements forum
5,10:24:07,A009,Read a post in the announcements forum
5,11:06:58,A037,Viewed Week 1 lecture slides
5,11:24:46,A004,Read a post in the announcements forum
5,11:28:47,A018,Read a post in the announcements forum
5,11:30:31,A016,Read a post in the announcements forum
5,11:56:06,A070,Viewed Week 1 lecture slides
5,11:56:36,A070,Viewed Week 1 study materials in Estonian
5,11:57:11,A029,Viewed Week 1 lecture slides
5,11:57:48,A004,Viewed Week 1 lecture slides
5,11:58:07,A004,Viewed the course information page
5,12:01:34,A004,Viewed the course information page
5,12:01:41,A004,Viewed the course information page
5,12:01:53,A103,Read a post in the announcements forum
5,12:02:14,A103,Read a post in the announcements forum
5,12:02:32,A045,Read a post in the announcements forum
5,12:03:01,A045,Joined Week 1 lecture online
5,12:03:16,A004,Viewed Week 1 lecture slides
5,12:03:29,A004,Viewed Week 1 study materials in Estonian
5,12:05:22,A082,Viewed Week 1 study materials in Estonian
5,12:05:51,A082,Read a post in the announcements forum
5,12:07:52,A016,Read a post in the announcements forum
5,12:08:08,A016,Joined Week 1 lecture online
5,12:08:45,A027,Read a post in the announcements forum
5,12:09:03,A027,Viewed Week 1 study materials in Estonian
5,12:09:06,A018,Joined Week 1 lecture online
5,12:09:38,A004,Joined Week 1 lecture online
5,12:09:53,A073,Read a post in the announcements forum
5,12:10:06,A073,Joined Week 1 lecture online
5,12:10:27,A029,Read a post in the announcements forum
5,12:10:59,A100,Joined Week 1 lecture online
5,12:11:01,A024,Joined Week 1 lecture online
5,12:11:08,A019,Joined Week 1 lecture online
5,12:11:32,A102,Joined Week 1 lecture online
5,12:12:04,A091,Joined Week 1 lecture online
5,12:12:17,A030,Joined Week 1 lecture online
5,12:12:31,A094,Joined Week 1 lecture online
5,12:13:00,A039,Joined Week 1 lecture online
5,12:13:00,A045,Joined Week 1 lecture online
5,12:13:27,A044,Joined Week 1 lecture online
5,12:13:43,A074,Joined Week 1 lecture online
5,12:13:51,A046,Joined Week 1 lecture online
5,12:14:11,A043,Joined Week 1 lecture online
5,12:14:33,A015,Viewed the dictionary of terms
5,12:14:41,A038,Viewed Week 1 lecture slides
5,12:14:54,A075,Joined Week 1 lecture online
5,12:15:09,A001,Viewed Week 1 study materials in Estonian
5,12:15:16,A054,Read a post in the announcements forum
5,12:15:24,A066,Joined Week 1 lecture online
5,12:15:30,A070,Joined Week 1 lecture online
5,12:15:45,A054,Viewed Week 1 lecture slides
5,12:15:53,A031,Joined Week 1 lecture online
5,12:16:02,A032,Joined Week 1 lecture online
5,12:16:13,A058,Joined Week 1 lecture online
5,12:16:17,A095,Joined Week 1 lecture online
5,12:16:17,A056,Joined Week 1 lecture online
5,12:16:36,A030,Viewed Week 1 lecture slides
5,12:16:46,A056,Joined Week 1 lecture online
5,12:16:50,A056,Joined Week 1 lecture online
5,12:16:54,A050,Joined Week 1 lecture online
5,12:16:56,A056,Joined Week 1 lecture online
5,12:17:07,A027,Joined Week 1 lecture online
5,12:17:26,A103,Joined Week 1 lecture online
5,12:17:27,A066,Joined Week 1 lecture online
5,12:17:42,A050,Joined Week 1 lecture online
5,12:17:57,A054,Viewed Week 1 study materials in Estonian
5,12:18:07,A031,Joined Week 1 lecture online
5,12:18:11,A030,Viewed the course information page
5,12:18:19,A033,Joined Week 1 lecture online
5,12:18:22,A041,Joined Week 1 lecture online
5,12:18:30,A029,Viewed Week 1 study materials in Estonian
5,12:18:33,A046,Viewed the course information page
5,12:18:35,A033,Joined Week 1 lecture online
5,12:18:36,A019,Viewed the course information page
5,12:19:04,A084,Joined Week 1 lecture online
5,12:19:11,A066,Joined Week 1 lecture online
5,12:19:22,A050,Joined Week 1 lecture online
5,12:19:34,A069,Joined Week 1 lecture online
5,12:19:52,A047,Joined Week 1 lecture online
5,12:20:21,A054,Viewed the course information page
5,12:21:00,A014,Joined Week 1 lecture online
5,12:21:05,A050,Joined Week 1 lecture online
5,12:21:20,A010,Joined Week 1 lecture online
5,12:21:35,A075,Viewed the course information page
5,12:22:02,A030,Viewed Week 1 study materials in English
5,12:22:26,A050,Joined Week 1 lecture online
5,12:23:32,A055,Viewed the course information page
5,12:24:18,A006,Viewed Week 1 lecture slides
5,12:24:25,A100,Viewed Week 1 study materials in Estonian
5,12:24:27,A030,Viewed the dictionary of terms
5,12:24:31,A006,Viewed Week 1 study materials in Estonian
5,12:24:32,A030,Viewed the course information page
5,12:24:37,A100,Watched past years' Week 1 lecture recording
5,12:24:58,A007,Joined Week 1 lecture online
5,12:25:43,A046,Read a post in the announcements forum
5,12:25:43,A046,Read a post in the announcements forum
5,12:26:40,A100,Viewed the course information page
5,12:28:19,A088,Joined Week 1 lecture online
5,12:28:49,A023,Read a post in the announcements forum
5,12:29:11,A004,Viewed the course information page
5,12:29:19,A055,Viewed Week 1 study materials in Estonian
5,12:29:30,A004,Viewed the dictionary of terms
5,12:29:35,A004,Viewed the course information page
5,12:29:38,A004,Viewed the course information page
5,12:29:38,A004,Viewed the course information page
5,12:29:49,A100,Read a post in the announcements forum
5,12:29:52,A100,Read a post in the announcements forum
5,12:33:07,A024,Viewed the course information page
5,12:33:13,A023,Read a post in the announcements forum
5,12:33:32,A023,Joined Week 1 lecture online
5,12:33:36,A061,Viewed Week 1 lecture slides
5,12:34:25,A061,Viewed Week 1 lecture slides
5,12:36:16,A095,Joined Week 1 lecture online
5,12:36:42,A061,Viewed Week 1 study materials in English
5,12:36:58,A034,Read a post in the announcements forum
5,12:37:20,A034,Joined Week 1 lecture online
5,12:38:31,A029,Viewed Week 1 lecture slides
5,12:38:34,A097,Viewed Week 1 lecture slides
5,12:38:45,A054,Viewed the dictionary of terms
5,12:39:18,A097,Read a post in the announcements forum
5,12:39:22,A097,Read a post in the announcements forum
5,12:39:29,A097,Viewed the course information page
5,12:41:47,A075,Read a post in the announcements forum
5,12:41:56,A075,Read a post in the announcements forum
5,12:49:28,A041,Viewed Week 1 study materials in Estonian
