Student,Homework 1 (English version),Homework 1 (Estonian version),Homework 2 (English version),Homework 2 (Estonian version),Homework 3 (English version),Homework 3 (Estonian version),Homework 4 (English version),Homework 4 (Estonian version),Homework 5 (English version),Homework 5 (Estonian version),Homework 6 (English version),Homework 6 (Estonian version),Homework 7 (English version),Homework 7 (Estonian version),Homework 8 (English version),Homework 8 (Estonian version),Homework 9 (English version),Homework 9 (Estonian version),Homework 10 (English version),Homework 10 (Estonian version),Homework 11 (English version),Homework 11 (Estonian version),Homework 12 (English version),Homework 12 (Estonian version),Midterm exam (English version),Midterm exam (Estonian version),Midterm exam retake (English version),Midterm exam retake (Estonian version),Midterm exam retake 2 (English version),Midterm exam retake 2 (Estonian version),First final exam (English version),First final exam (Estonian version),Second final exam (English version),Second final exam (Estonian version),Final exam retake (English version),Final exam retake (Estonian version),Total,Grade
A001,-,110.0,-,97.0,-,100.0,-,96.0,-,97.0,-,86.0,-,68.0,-,70.0,-,65.0,-,70.0,0.0,70.0,-,-,-,73,-,-,-,-,-,74,-,-,-,-,74.28,C
A002,-,110.0,0.0,110.0,-,110.0,-,87.5,-,110.0,-,86.0,-,70.0,0.0,74.0,-,110.0,0.0,108.0,0.0,44.5,-,0.0,-,108,-,-,-,-,-,105,-,-,-,-,102.2,A
A003,-,100.0,-,92.0,-,20.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.53,-
A004,0.0,90.0,-,98.0,0.0,100.0,-,79.5,-,94.0,-,27.0,-,44.0,0.0,70.0,-,75.0,-,70.0,-,57.0,-,15.0,-,82,-,-,-,-,-,-,-,27,-,-,57.26,E
A005,-,110.0,-,107.0,-,110.0,-,110.0,-,109.0,-,110.0,-,69.0,-,97.0,-,100.0,-,75.0,-,80.0,-,90.0,-,93,-,-,-,-,-,96,-,-,-,-,95.05,A
A006,-,110.0,-,95.0,-,110.0,-,100.0,-,90.0,-,63.0,-,100.0,-,70.0,-,98.0,-,67.0,-,92.0,-,18.0,-,63,-,-,-,-,-,56,-,-,-,-,64.48,D
A007,-,80.0,-,85.0,-,60.0,-,82.5,-,88.0,-,76.0,-,58.0,-,15.0,-,60.0,-,65.0,-,54.0,-,-,-,79,-,-,-,-,-,58,-,-,-,-,66.86,D
A008,-,110.0,-,103.0,-,110.0,-,110.0,-,90.0,-,98.0,-,99.0,-,76.0,-,110.0,-,108.0,-,100.0,-,100.0,-,102,-,-,-,-,-,95,-,-,-,-,99.03,A
A009,-,110.0,-,0.0,-,-,-,-,-,0.0,-,69.0,-,-,-,0.0,-,-,-,-,-,-,-,-,-,69,-,-,-,-,-,-,-,44,-,-,48.18,F
A010,-,50.0,-,55.0,-,40.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.42,-
A011,-,50.0,-,35.0,-,40.0,-,105.0,-,79.0,-,51.0,-,7.0,0.0,72.0,-,16.0,-,27.0,-,48.0,-,30.0,-,48,-,77,-,-,-,-,-,33,-,-,53.33,E
A012,100.0,90.0,80.0,-,50.0,-,42.5,-,0.0,-,0.0,-,49.0,-,50.0,-,-,-,-,-,-,-,-,-,-,-,-,-,64,-,-,-,-,-,78,0,62.99,D
A013,-,100.0,60.0,30.0,40.0,60.0,-,0.0,-,0.0,0.0,12.0,0.0,0.0,-,0.0,-,-,-,0.0,-,92.5,-,-,-,-,-,79,-,-,-,46,-,-,-,-,55.41,E
A014,-,100.0,-,110.0,-,90.0,-,97.5,-,47.0,-,24.0,-,45.0,-,0.0,-,60.0,-,0.0,-,45.0,-,0.0,-,71,-,-,-,-,-,-,-,32,-,-,51.51,E
